country,iso_code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,cement_co2,coal_co2,gas_co2,oil_co2,co2_growth_prct,co2_per_unit_energy,eps_score,pressure_level
Ecuador,ECU,2023,17980079.0,,43.173,2.401,,2.129,,0.859,37.21,6.542,0.184,,
Egypt,EGY,2023,114535772.0,,269.006,2.349,,20.194,8.585,118.821,117.887,-0.797,0.246,,
El Salvador,SLV,2023,6309628.0,,8.23,1.304,,0.415,0.003,0.015,7.797,5.514,,,
Equatorial Guinea,GNQ,2023,1847556.0,,6.141,3.324,,0.0,,4.581,1.172,-10.028,,,
Eritrea,ERI,2023,3470392.0,,0.621,0.179,,0.07,,,0.551,-0.43,,,
Estonia,EST,2023,1367194.0,,10.019,7.328,,0.0,6.328,0.622,3.0,-14.786,0.18,,
Eswatini,SWZ,2023,1230508.0,,1.104,0.897,,0.0,0.228,,0.877,2.27,,,
Ethiopia,ETH,2023,128691696.0,,15.227,0.118,,3.681,1.162,,10.383,0.463,,,
Faroe Islands,FRO,2023,54738.0,,0.798,14.572,,,,,0.798,0.965,,,
Fiji,FJI,2023,924150.0,,1.146,1.24,,0.0,,,1.146,2.174,,,
Finland,FIN,2023,5601185.0,,31.622,5.646,,0.597,8.834,2.851,18.704,-13.048,0.095,,
France,FRA,2023,66438828.0,,272.476,4.101,,6.397,19.636,66.651,174.553,-7.164,0.113,3.9,High
French Polynesia,PYF,2023,281124.0,,0.916,3.259,,0.0,,,0.916,2.174,,,
Gabon,GAB,2023,2484790.0,,5.411,2.178,,0.198,,0.685,2.297,-7.262,,,
Gambia,GMB,2023,2697848.0,,0.711,0.264,,0.0,,,0.711,-3.605,,,
Georgia,GEO,2023,3807494.0,,11.769,3.091,,1.024,0.792,6.186,3.767,2.098,,,
Germany,DEU,2023,84548234.0,,596.151,7.051,,10.604,188.477,155.461,231.622,-11.217,0.188,4.0,High
Ghana,GHA,2023,33787915.0,,19.647,0.581,,0.037,,6.099,12.556,-3.154,,,
Greece,GRC,2023,10242909.0,,55.196,5.389,,3.591,6.389,9.34,35.36,-4.964,0.181,,
Greenland,GRL,2023,55951.0,,0.596,10.659,,0.0,,,0.596,1.493,,,
Grenada,GRD,2023,117093.0,,0.339,2.898,,0.0,,,0.339,5.733,,,
Guatemala,GTM,2023,18124842.0,,20.382,1.125,,1.31,2.972,,15.99,6.637,,,
Guinea,GIN,2023,14405469.0,,4.043,0.281,,0.0,,,4.043,-3.605,,,
Guinea-Bissau,GNB,2023,2153344.0,,0.298,0.138,,0.0,,,0.298,-3.605,,,
Guyana,GUY,2023,826360.0,,3.545,4.29,,0.158,0.003,0.009,3.165,-2.264,,,
Haiti,HTI,2023,11637402.0,,3.522,0.303,,0.116,,,3.406,4.173,,,
Honduras,HND,2023,10644855.0,,11.042,1.037,,0.702,,,10.341,5.349,,,
Hong Kong,HKG,2023,7442738.0,,33.871,4.551,,0.572,13.291,9.898,10.11,7.419,0.135,,
Hungary,HUN,2023,9686463.0,,40.19,4.149,,0.815,3.782,16.869,18.144,-10.375,0.159,,
Iceland,ISL,2023,387559.0,,3.762,9.708,,0.0,0.517,0.001,3.06,4.129,0.06,,
India,IND,2023,1438069597.0,,3062.324,2.129,,177.226,2032.012,132.42,717.799,8.165,0.283,1.5,Low
Indonesia,IDN,2023,281190068.0,,733.224,2.608,,26.004,399.051,88.657,215.932,-0.522,0.261,,
Iran,IRN,2023,90608708.0,,817.88,9.027,,38.928,5.444,509.267,225.85,2.14,0.232,,
Iraq,IRQ,2023,45074055.0,,176.458,3.915,,10.129,0.006,41.157,91.91,3.024,0.253,,
Ireland,IRL,2023,5196629.0,,34.433,6.626,,1.957,2.758,9.968,19.014,-6.207,0.19,,
Israel,ISR,2023,9256311.0,,59.489,6.427,,1.728,12.17,24.727,20.821,-2.39,0.192,,
Italy,ITA,2023,59499452.0,,313.461,5.268,,7.919,21.872,121.943,155.899,-7.988,0.19,3.8,High
Jamaica,JAM,2023,2839785.0,,7.649,2.693,,0.395,0.329,1.662,5.262,7.172,,,
Japan,JPN,2023,124370947.0,,988.785,7.95,,20.71,393.898,188.445,377.727,-4.251,0.205,3.5,High
Jordan,JOR,2023,11439219.0,,21.189,1.852,,1.299,1.662,6.093,12.095,4.613,,,
Kazakhstan,KAZ,2023,20330106.0,,255.161,12.551,,3.841,146.571,36.683,51.769,0.294,0.308,,
Kenya,KEN,2023,55339007.0,,21.531,0.389,,4.763,3.101,,13.666,0.625,,,
Kiribati,KIR,2023,132539.0,,0.069,0.521,,0.0,,,0.069,2.174,,,
Kuwait,KWT,2023,4838780.0,,99.233,20.508,,1.222,0.337,61.482,34.954,1.819,0.227,,
Kyrgyzstan,KGZ,2023,7073523.0,,10.152,1.435,,1.171,3.847,0.788,4.347,1.199,,,
Laos,LAO,2023,7665002.0,,24.796,3.235,,5.5,15.866,,3.431,5.804,,,
Latvia,LVA,2023,1882400.0,,6.513,3.46,,0.54,0.03,1.518,4.34,-1.614,0.162,,
Lebanon,LBN,2023,5773492.0,,19.475,3.373,,0.788,1.488,,17.199,2.923,,,
Lesotho,LSO,2023,2311476.0,,3.889,1.682,,0.0,3.134,,0.754,1.466,,,
Liberia,LBR,2023,5493034.0,,0.771,0.14,,0.207,,,0.564,-2.661,,,
Libya,LBY,2023,7305660.0,,60.976,8.346,,1.589,,13.96,32.641,5.96,,,
Liechtenstein,LIE,2023,39621.0,,0.157,3.969,,0.0,0.0,0.061,0.097,2.555,,,
Lithuania,LTU,2023,2854105.0,,12.462,4.366,,0.682,0.449,2.659,8.375,-3.072,0.188,,
Luxembourg,LUX,2023,665101.0,,6.993,10.514,,0.369,0.193,1.17,5.249,-3.897,0.186,,
Macao,MAC,2023,713916.0,,1.057,1.481,,0.0,,0.157,0.901,1.993,,,
Madagascar,MDG,2023,31195936.0,,4.476,0.143,,0.058,1.732,,2.686,3.874,,,
Malawi,MWI,2023,21104480.0,,1.752,0.083,,0.31,0.103,,1.34,0.24,,,
Malaysia,MYS,2023,35126295.0,,288.824,8.222,,13.136,88.601,87.563,96.717,1.183,0.216,,
Maldives,MDV,2023,526009.0,,2.062,3.921,,0.0,,,2.062,2.174,,,
Mali,MLI,2023,23769129.0,,6.762,0.284,,0.697,,,6.064,-3.245,,,
Malta,MLT,2023,532964.0,,1.822,3.419,,0.0,0.0,0.781,1.041,2.74,,,
Marshall Islands,MHL,2023,38849.0,,0.153,3.947,,0.0,,,0.153,2.174,,,
Mauritania,MRT,2023,5022440.0,,4.413,0.879,,0.0,,,4.413,-3.605,,,
Mauritius,MUS,2023,1273590.0,,4.139,3.25,,0.0,2.123,,2.016,5.365,,,
Mexico,MEX,2023,129739764.0,,482.623,3.72,,18.816,38.865,176.579,238.041,3.715,0.206,2.4,Medium
Micronesia (country),FSM,2023,112646.0,,0.149,1.327,,0.0,,,0.149,2.174,,,
Moldova,MDA,2023,3067071.0,,5.962,1.944,,0.599,0.312,2.078,2.973,2.975,,,
Mongolia,MNG,2023,3431939.0,,46.87,13.657,,0.574,41.271,,5.025,7.959,,,
Montenegro,MNE,2023,633557.0,,2.328,3.675,,,1.22,,1.108,-2.599,,,
Montserrat,MSR,2023,4440.0,,0.022,5.008,,0.0,,,0.022,4.321,,,
Morocco,MAR,2023,37712517.0,,68.668,1.821,,5.11,25.059,1.752,36.747,-1.206,0.253,,
Mozambique,MOZ,2023,33635165.0,,8.023,0.239,,1.162,0.031,1.986,4.392,-4.002,,,
Myanmar,MMR,2023,54133801.0,,30.233,0.558,,2.557,3.615,8.596,15.444,2.372,,,
